Company.Name,Quarter,Closing_Price,EPS,P.E,P.B,Turnover,Debt_to_equity_ratio,Current_ratio,Quick_ratio
Tata Consultancy Services Ltd.,Sep-12,1295.9,59.6,21.74,9.2,1887.2,0.01,1.84,1.72
Tata Consultancy Services Ltd.,Dec-12,1255.85,62.69,20.03,7.12,442.64,0.01,1.84,1.72
Tata Consultancy Services Ltd.,Mar-13,1575.75,62.69,25.14,8.93,2393.79,0.01,1.84,1.72
Tata Consultancy Services Ltd.,Jun-13,1518.15,66.35,22.88,9.15,3610.49,0.01,2.43,2.01
Tata Consultancy Services Ltd.,Sep-13,1927.8,79.25,24.33,9.08,1930.81,0.01,2.43,2.01
Tata Consultancy Services Ltd.,Dec-13,2172.05,87.1,24.94,9.19,1352.83,0.01,2.43,2.01
Tata Consultancy Services Ltd.,Mar-14,2133.15,96.7,22.06,9.48,2834.12,0,2.73,2.6
Tata Consultancy Services Ltd.,Jun-14,2425.4,102.35,23.7,9.67,2590.76,0,2.73,2.6
Tata Consultancy Services Ltd.,Sep-14,2736.6,99.2,27.59,9.9,3819.59,0,2.73,2.6
Tata Consultancy Services Ltd.,Dec-14,2558.25,103.98,24.6,8.37,2002.68,0,2.73,2.6
Tata Consultancy Services Ltd.,Mar-15,2553.95,95.85,26.65,11.01,3092.22,0.01,2.38,2.3
Tata Consultancy Services Ltd.,Jun-15,2550.95,101.28,25.19,9.79,1981.63,0.01,2.38,2.3
Tata Consultancy Services Ltd.,Sep-15,2588.05,104.39,24.79,8.98,4355.23,0.01,2.38,2.3
Tata Consultancy Services Ltd.,Dec-15,2436.85,105.81,23.03,7.65,1506.3,0.01,2.38,2.3
Tata Consultancy Services Ltd.,Mar-16,2520.3,117.24,21.5,7.64,5477.75,0,4.58,4.55
